"sample_id","waterLevel","region","group"
"Bui1H","high","Central_Spain","highCentral_Spain"
"Bui2H","high","Central_Spain","highCentral_Spain"
"Bui3H","high","Central_Spain","highCentral_Spain"
"Bui4H","high","Central_Spain","highCentral_Spain"
"Bui1L","low","Central_Spain","lowCentral_Spain"
"Bui2L","low","Central_Spain","lowCentral_Spain"
"Bui3L","low","Central_Spain","lowCentral_Spain"
"Bui4L","low","Central_Spain","lowCentral_Spain"
"Can1H","high","Central_Spain","highCentral_Spain"
"Can2H","high","Central_Spain","highCentral_Spain"
"Can3H","high","Central_Spain","highCentral_Spain"
"Can4H","high","Central_Spain","highCentral_Spain"
"Can1L","low","Central_Spain","lowCentral_Spain"
"Can2L","low","Central_Spain","lowCentral_Spain"
"Can3L","low","Central_Spain","lowCentral_Spain"
"Can4L","low","Central_Spain","lowCentral_Spain"
"Tur1H","high","Central_Spain","highCentral_Spain"
"Tur2H","high","Central_Spain","highCentral_Spain"
"Tur3H","high","Central_Spain","highCentral_Spain"
"Tur4H","high","Central_Spain","highCentral_Spain"
"Tur1L","low","Central_Spain","lowCentral_Spain"
"Tur2L","low","Central_Spain","lowCentral_Spain"
"Tur3L","low","Central_Spain","lowCentral_Spain"
"Tur4L","low","Central_Spain","lowCentral_Spain"
"Esp1H","high","Southern_Spain","highSouthern_Spain"
"Esp2H","high","Southern_Spain","highSouthern_Spain"
"Esp3H","high","Southern_Spain","highSouthern_Spain"
"Esp4H","high","Southern_Spain","highSouthern_Spain"
"Esp1L","low","Southern_Spain","lowSouthern_Spain"
"Esp2L","low","Southern_Spain","lowSouthern_Spain"
"Esp3L","low","Southern_Spain","lowSouthern_Spain"
"Esp4L","low","Southern_Spain","lowSouthern_Spain"
"Jab1H","high","Southern_Spain","highSouthern_Spain"
"Jab2H","high","Southern_Spain","highSouthern_Spain"
"Jab3H","high","Southern_Spain","highSouthern_Spain"
"Jab4H","high","Southern_Spain","highSouthern_Spain"
"Jab1L","low","Southern_Spain","lowSouthern_Spain"
"Jab2L","low","Southern_Spain","lowSouthern_Spain"
"Jab3L","low","Southern_Spain","lowSouthern_Spain"
"Jab4L","low","Southern_Spain","lowSouthern_Spain"
"Lla1H","high","Southern_Spain","highSouthern_Spain"
"Lla2H","high","Southern_Spain","highSouthern_Spain"
"Lla3H","high","Southern_Spain","highSouthern_Spain"
"Lla4H","high","Southern_Spain","highSouthern_Spain"
"Lla1L","low","Southern_Spain","lowSouthern_Spain"
"Lla2L","low","Southern_Spain","lowSouthern_Spain"
"Lla3L","low","Southern_Spain","lowSouthern_Spain"
"Lla4L","low","Southern_Spain","lowSouthern_Spain"
